g1,g2,g3,t1,t2,t3,h,c1,c2,c3
10.0,1.0,1.0,6.0,0.0,24.0,-17.436815476736058,3.3472744589948755,0.0,0.0
10.0,1.0,1.0,30.0,0.0,0.0,-56.66307080128354,16.736372294974377,0.0,0.0
1.0,10.0,1.0,0.0,30.0,0.0,-111.84748358534455,0.0,16.736372294974377,0.0
10.0,10.0,1.0,18.0,6.0,6.0,-55.915737707189635,10.041823376984627,3.3472744589948755,0.0
10.0,10.0,5.0,6.0,8.0,16.0,-61.39092650001487,3.3472744589948755,4.463032611993167,2.015441044970343
1.0,1.0,10.0,5.0,20.0,5.0,-21.163353683275318,0.0,0.0,2.7893953824957296
10.0,1.0,10.0,18.0,4.0,8.0,-57.760664229717065,10.041823376984627,0.0,4.463032611993167
1.0,10.0,10.0,0.0,22.0,8.0,-103.89999971715838,0.0,12.27333968298121,4.463032611993167
1.0,10.0,10.0,11.0,11.0,8.0,-63.53912008430265,0.0,6.136669841490605,4.463032611993167
10.0,10.0,10.0,6.0,16.0,8.0,-91.73516077525395,3.3472744589948755,8.926065223986335,4.463032611993167
10.0,10.0,10.0,6.0,18.0,6.0,-93.42172199708295,3.3472744589948755,10.041823376984627,3.3472744589948755
10.0,10.0,10.0,18.0,6.0,6.0,-71.72524866801456,10.041823376984627,3.3472744589948755,3.3472744589948755
